Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
0121I000000d8Y8QAI,Catalog,Catalog,,For items approved in the catalog,,Cart_Line__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:37.000+0000,0051I000000r0mDQAQ,2017-10-23T17:24:37.000+0000,2017-10-23T17:24:37.000+0000
0121I000000d8Y9QAI,Request Item,Request_Item,,Item that needs to be clarified by the buyer before being approved for PO,,Cart_Line__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:37.000+0000,0051I000000r0mDQAQ,2017-10-23T17:24:37.000+0000,2017-10-23T17:24:37.000+0000
0121I000000d8YAQAY,Bill To,Bill_To,,Customer location that receives invoices,,Customer__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:33.000+0000,2017-11-28T18:47:33.000+0000
0121I000000d8YBQAY,Corporate Parent,Corporate_Parent,,"Top of the customer hierarchy, owns or controls related customer records",,Customer__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:33.000+0000,2017-11-28T18:47:33.000+0000
0121I000000d8YCQAY,Ship To,Ship_To,,Customer location that receives shipments,,Customer__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:33.000+0000,2017-11-28T18:47:33.000+0000
0121I000000d8YDQAY,Site,Site,,,,Customer__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:34.000+0000,2017-11-28T18:47:34.000+0000
0121I000000d8YEQAY,Sold To,Sold_To,,Customer location that places orders,,Customer__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:34.000+0000,2017-11-28T18:47:34.000+0000
0121I000000d8YFQAY,Purchase From,Purchase_From,,Supplier that you purchase from,,Supplier__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:34.000+0000,2017-11-28T18:47:34.000+0000
0121I000000d8YGQAY,Remit To,Remit_To,,Supplier that receives payments,,Supplier__c,True,0051I000000r0mDQAQ,2017-10-23T17:24:38.000+0000,0051I000000r0mDQAQ,2017-11-28T18:47:34.000+0000,2017-11-28T18:47:34.000+0000
